C,Si,Mn,P,S,Cr,Ni,Al,Cu,steel_class
"0,288","0,254","0,444","0,0134","0,0329","0,005","0,0407","0,0021","0,147",St 48
"0,241","0,196","0,714","0,0133","0,0351","0,0125","0,0448","0,0021","0,162",St 48
"0,233","0,257","0,445","0,0275","0,0467","0,005","0,0333","0,0028","0,169",St 48
"0,174","0,159","0,437","0,0037","0,0156","0,005","0,0538","0,0021","0,171",St 37
"0,225","0,199","0,785","0,0421","0,0575","0,0657","0,212","0,0026","0,192",St 48
"0,256","0,211","0,743","0,0164","0,0403","0,012","0,0439","0,003","0,17",St 48
"0,176","0,183","0,748","0,0163","0,0443","0,057","0,0714","0,0042","0,194",St 48
"0,283","0,292","0,611","0,0075","0,0488","0,005","0,0393","0,0043","0,183",St 48
"0,246333333333333","0,247333333333333","0,437","0,0129166666666667","0,0264333333333333","0,0116","0,0339333333333333","0,00245","0,137333333333333",St 48
"0,212333333333333","0,148666666666667","0,710166666666667","0,0250333333333333","0,0519666666666667","0,0665166666666667","0,0687833333333333","0,002","0,189833333333333",St 48
"0,2185","0,180166666666667","0,647666666666667","0,0131333333333333","0,0299333333333333","0,0354166666666667","0,0569666666666667","0,0022","0,1625",St 48
"0,161666666666667","0,264666666666667","0,852333333333333","0,01345","0,02705","0,015","0,05655","0,00206666666666667","0,357166666666667",St 48
"0,215666666666667","0,166","0,752333333333333","0,0227666666666667","0,0356333333333333","0,0217","0,0421666666666667","0,002","0,153333333333333",St 48
"0,187833333333333","0,172166666666667","0,650166666666667","0,0137166666666667","0,0324666666666667","0,0351166666666667","0,0566","0,002","0,164666666666667",St 48
"0,246833333333333","0,22","0,855833333333333","0,0293666666666667","0,0457166666666667","0,0206833333333333","0,0468833333333333","0,00291666666666667","0,144833333333333",St 48
"0,215166666666667","0,0115666666666667","0,593","0,0541833333333333","0,0389166666666667","0,01085","0,0249","0,002","0,0484666666666667",St 48-TH
"0,0506666666666667","0,005","0,558","0,00886666666666667","0,0206833333333333","0,0115333333333333","0,0341","0,002","0,0867",St 37
"0,1932","0,255","0,4342","0,02386","0,03308","0,01238","0,02712","0,0038","0,1594",St 48
"0,2165","0,005","0,674666666666667","0,0336666666666667","0,0266","0,0718833333333333","0,0829333333333334","0,04085","0,104166666666667",St 48-TH
"0,228857142857143","0,005","0,665571428571429","0,0362857142857143","0,0258857142857143","0,0680142857142857","0,0797285714285714","0,0348857142857143","0,102",St 48
"0,142","0,875333333333333","0,841166666666667","0,0251666666666667","0,04795","0,005","0,0383666666666667","0,00718333333333333","0,156",St Si
"0,2635","0,00866666666666666","0,550333333333333","0,0429166666666667","0,0452","0,005","0,0293166666666667","0,00223333333333333","0,06735",St 48-TH
"0,2804","0,015","0,5455","0,055","0,0458","0,0089","0,0351","0,0022","0,0729",St 48-TH
"0,228833333333333","0,268166666666667","0,4445","0,0242833333333333","0,0398333333333333","0,0129833333333333","0,0289666666666667","0,00295","0,164333333333333",St 48
"0,243666666666667","0,188","0,708333333333333","0,0149833333333333","0,0331666666666667","0,0241333333333333","0,0394","0,00246666666666667","0,1575",St 48
"0,195833333333333","0,166833333333333","0,660333333333333","0,0125666666666667","0,0273833333333333","0,0435333333333333","0,05325","0,00228333333333333","0,175333333333333",St 48
"0,146","0,355833333333333","0,505833333333333","0,0196166666666667","0,03085","0,0116833333333333","0,0312666666666667","0,00415","0,111833333333333",St 48
"0,181","0,176166666666667","0,657833333333333","0,00778333333333333","0,0311","0,0398","0,0569333333333333","0,00213333333333333","0,164166666666667",St 48
"0,23075","0,16925","0,680125","0,0121","0,0312","0,044475","0,055525","0,0021375","0,178875",St 48
"0,204","0,168166666666667","0,752666666666667","0,0236333333333333","0,0361166666666667","0,0213833333333333","0,0424","0,002","0,154833333333333",St 48
"0,278","0,153166666666667","0,6905","0,00725","0,0261333333333333","0,05575","0,047","0,00351666666666667","0,176833333333333",St 48
"0,29025","0,15275","0,68875","0,0102875","0,0296125","0,05415","0,04585","0,004575","0,17525",St 48
"0,1895","0,2195","0,8655","0,0267166666666667","0,0422333333333333","0,0215666666666667","0,0461333333333333","0,00211666666666667","0,145666666666667",St 48
"0,2622","0,2546","0,8904","0,0325","0,0492","0,0259","0,0531","0,0031","0,1554",St 48
"0,251066666666667","0,246333333333333","0,8672","0,02856","0,0556","0,0222266666666667","0,0482","0,00396","0,1462",St 48
"0,324833333333333","0,00995","0,424666666666667","0,0275166666666667","0,0230833333333333","0,005","0,0281","0,00293333333333333","0,05795",St 48-TH
"0,309166666666667","0,00923333333333333","0,430333333333333","0,03055","0,0284833333333333","0,005","0,0294166666666667","0,002","0,0590166666666667",St 48-TH
"0,0520375","0,005","0,492125","0,0089","0,0168875","0,0135375","0,0531","0,0025875","0,14325",St 37
"0,0514","0,005","0,4725","0,00796666666666667","0,0183","0,0127","0,05215","0,002","0,139166666666667",St 37
"0,275","0,293","0,475","0,012","0,0346","0,0051","0,0443","0,0044","0,156",St 48
"0,249","0,168","0,732","0,0127","0,0483","0,0594","0,0769","0,002","0,211",St 48
"0,225","0,196","0,673","0,0087","0,0323","0,0251","0,0633","0,0024","0,179",St 48
"0,27","0,179","0,593","0,0123","0,036","0,005","0,0417","0,0034","0,147",St 48
"0,261","0,225","0,726","0,0122","0,0345","0,0132","0,0472","0,0038","0,172",St 48
"0,271","0,291","0,602","0,0053","0,0338","0,005","0,0419","0,0039","0,188",St 48
"0,142","0,281","0,462","0,024","0,0368","0,005","0,0331","0,0035","0,176",St 48
"0,237","0,171","0,643","0,0051","0,023","0,021","0,054","0,0023","0,166",St 48
"0,232","0,276","0,464","0,0256","0,0459","0,005","0,0323","0,0026","0,178",St 48
"0,26","0,209","0,734","0,0149","0,0407","0,0145","0,0485","0,0036","0,171",St 48
"0,263","0,0262","0,583","0,0375","0,0397","0,005","0,0335","0,002","0,0569",St 48-TH
"0,218","0,182","0,691","0,0129","0,0314","0,0229","0,067","0,0036","0,225",St 48
"0,242","0,21","0,79","0,01","0,0439","0,0463","0,127","0,0034","0,202",St 48
"0,316","0,318","0,607","0,0077","0,0466","0,005","0,0396","0,0039","0,19",St 48
"0,216714285714286","0,247571428571429","0,681857142857143","0,0191571428571429","0,0437285714285714","0,0121714285714286","0,0436285714285714","0,00212857142857143","0,172285714285714",St 48
"0,249333333333333","0,255833333333333","0,662833333333333","0,01445","0,0442","0,0130333333333333","0,0471333333333333","0,0028","0,166",St 48
"0,136","0,201","0,524666666666667","0,0386166666666667","0,04015","0,0052","0,0297166666666667","0,0259","0,0137833333333333",St 48
"0,128","0,207","0,513833333333333","0,0319833333333333","0,0397","0,00745","0,0351333333333333","0,0290333333333333","0,0141",St 48
"0,197666666666667","0,2095","0,582166666666667","0,0265333333333333","0,0366833333333333","0,00556666666666667","0,0491166666666667","0,002","0,192166666666667",St 48
"0,204166666666667","0,226","0,5615","0,0292333333333333","0,0437333333333333","0,00626666666666667","0,0506833333333333","0,002","0,187666666666667",St 48
"0,179833333333333","0,280666666666667","0,6815","0,02665","0,0439833333333333","0,0079","0,0482666666666667","0,00201666666666667","0,156166666666667",St 48
"0,20375","0,283","0,69725","0,0298125","0,0474625","0,0091625","0,0475375","0,0024875","0,15625",St 48
"0,185666666666667","0,005","0,4415","0,01565","0,0352333333333333","0,0190666666666667","0,0715","0,002","0,150333333333333",St 48-TH
"0,26","0,005","0,478","0,0247","0,053","0,0122","0,0713","0,002","0,161",St 48-TH
"0,263","0,005","0,469","0,0228","0,0494","0,0125","0,0727","0,002","0,16",St 48-TH
"0,29","0,01","0,44","0,034","0,06","0,03","0,07","0,001","0,16",St 48-TH
"0,236666666666667","0,348166666666667","0,682333333333333","0,0200333333333333","0,0528","0,03075","0,146166666666667","0,0046","0,213333333333333",St 48
"0,2252","0,241","0,698","0,01912","0,03524","0,01336","0,04176","0,00208","0,1704",St 48
"0,2358","0,2609","0,6915","0,0273","0,0549","0,021","0,0458","0,0061","0,1684",St 48
"0,1388","0,351","0,5796","0,04082","0,05398","0,0071","0,03274","0,01326","0,01396",St 48
"0,147666666666667","0,348166666666667","0,575833333333333","0,041","0,0502166666666667","0,00735","0,0301","0,0216166666666667","0,0138833333333333",St 48
"0,149833333333333","0,312333333333333","0,7205","0,0408166666666667","0,0402666666666667","0,00885","0,0334166666666667","0,0174666666666667","0,0148",St 48
"0,1752","0,343","0,755","0,0672","0,0631","0,0175","0,0369","0,0193","0,0152",St 48
"0,1508","0,8096","0,9372","0,0184","0,04316","0,01136","0,05342","0,00322","0,1918",St Si
"0,21","0,286666666666667","0,688333333333333","0,027","0,0559","0,00868333333333333","0,0469166666666667","0,00215","0,156333333333333",St 48
"0,2315","0,199833333333333","0,592666666666667","0,0287","0,0396833333333333","0,00811666666666667","0,0483833333333333","0,002","0,187833333333333",St 48
"0,273833333333333","0,338666666666667","0,522166666666667","0,0104666666666667","0,0304","0,00813333333333333","0,08635","0,00475","0,208333333333333",St 48
"0,10955","0,914333333333333","0,8785","0,0146166666666667","0,0254833333333333","0,005","0,0504333333333333","0,00308333333333333","0,192666666666667",St Si
"0,05995","0,005","0,466833333333333","0,00513333333333333","0,0165666666666667","0,0491833333333333","0,0577666666666667","0,002","0,181666666666667",St 37
"0,0263","0,005","0,409666666666667","0,0243666666666667","0,0277666666666667","0,00505","0,0303166666666667","0,002","0,0109666666666667",St 37
"0,132","0,005","0,413333333333333","0,00533333333333333","0,0190166666666667","0,109","0,0465666666666667","0,002","0,1305",St 37
"0,183833333333333","0,005","0,452666666666667","0,01555","0,0297166666666667","0,01835","0,0730166666666667","0,002","0,157333333333333",St 48-TH
"0,24","0,005","0,455","0,0206","0,0402","0,0104","0,069","0,0021","0,156",St 48-TH
"0,213","0,005","0,429","0,0203","0,0416","0,0106","0,0708","0,002","0,156",St 48-TH
"0,26","0,01","0,42","0,032","0,06","0,03","0,07","0,002","0,15",St 48-TH
"0,193166666666667","0,306166666666667","0,660666666666667","0,0218333333333333","0,0419333333333333","0,03235","0,119833333333333","0,00631666666666667","0,207",St 48
"0,211333333333333","0,309833333333333","0,659333333333333","0,0215333333333333","0,0422833333333333","0,0326","0,121","0,0027","0,211333333333333",St 48
"0,2352","0,3257","0,651","0,0282","0,0531","0,0355","0,1232","0,0052","0,2019",St 48
"0,1825","0,2845","0,697333333333333","0,0194833333333333","0,0337","0,00821666666666667","0,04485","0,002","0,1595",St 48
"0,209","0,199","0,685666666666667","0,0157333333333333","0,0300333333333333","0,0116833333333333","0,0529833333333333","0,002","0,198",St 48
"0,2245","0,2191","0,6923","0,0239","0,0466","0,0202","0,056","0,0053","0,1975",St 48
"0,299","0,335","0,718","0,0275","0,0583","0,0054","0,0486","0,003","0,145",St 48
"0,246","0,243","0,725","0,042","0,0552","0,005","0,0329","0,0027","0,15",St 48
"0,3","0,23","0,763","0,0333","0,0406","0,0052","0,0414","0,0025","0,178",St 48
"0,0663","0,106333333333333","0,326666666666667","0,0191666666666667","0,0309","0,0169666666666667","0,0366333333333333","0,0041","0,0947333333333333",St 37
